Gender,City,Stream,Specialisation,PlacementStatus
0.6583148043673049,0.6529160739687055,0.6532128154644711,0.6584004959702418,0
0.6553077968490462,0.6467799288818649,0.6532128154644711,0.6516526517359088,0
0.6583148043673049,0.6506528701650652,0.6486231313926043,0.6516526517359088,1
0.6583148043673049,0.6591515870661525,0.6716653512233622,0.6622787899921542,1
0.6583148043673049,0.661128903122498,0.6486231313926043,0.6516526517359088,1
0.6583148043673049,0.6529160739687055,0.6563886424134872,0.6584004959702418,1
0.6583148043673049,0.6605866403746611,0.6487879142756763,0.6584004959702418,1
0.6583148043673049,0.6597051597051597,0.6487879142756763,0.6563831350080799,0
0.6583148043673049,0.661128903122498,0.6716653512233622,0.6622787899921542,1
0.6553077968490462,0.6605866403746611,0.6716653512233622,0.6516526517359088,1
