CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore
0.22222222222222232,0.4552058111380144,0.5,0.25,,0.5,0.5555555555555556,0.07692307692307698,0.4031971580817052,0.4444444444444444
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.15384615384615385,0.0,0.0
0.06079664570230592,0.5593220338983049,0.5,0.5,0.3333333333333333,0.25,0.7687687687687685,0.3076923076923077,0.7282415630550623,0.3171717171717172
0.4779874213836477,0.34624697336561727,0.5,0.25,0.3333333333333333,0.5,0.6486486486486485,0.2692307692307694,0.7140319715808172,0.4484848484848485
0.7169811320754718,1.0,1.0,0.5,,1.0,0.7477477477477474,0.03846153846153855,0.799289520426288,0.7252525252525255
1.0,0.8329297820823247,1.0,1.0,0.6666666666666666,1.0,1.0000000000000002,0.7307692307692308,,1.0
0.8637316561844863,0.7893462469733654,1.0,0.25,1.0,0.75,0.8498498498498497,1.0,1.0000000000000002,0.7212121212121212
0.05870020964360578,0.32445520581113807,0.0,0.0,0.3333333333333333,0.0,,0.0,0.15097690941385444,0.04040404040404044
0.20335429769392044,0.26634382566585946,0.0,0.25,0.3333333333333333,0.25,0.1231231231231229,0.653846153846154,0.6589698046181172,0.6282828282828283
0.6666666666666667,0.5084745762711864,0.5,0.25,,0.25,0.32432432432432434,0.2692307692307694,0.8454706927175843,0.3353535353535354
